title,company,location,description
Consultant Data Science (m/w/d),STATWORX,Frankfurt am Main,"Über STATWORXSTATWORX ist ein Beratungsunternehmen für Data Science, Machine Learning und AI mit Sitz in Frankfurt am Main, Zürich und Wien."
Consultant Data Engineering (m/w/d),STATWORX,Frankfurt am Main,"Über STATWORXSTATWORX ist ein Beratungsunternehmen für Data Science, Machine Learning und AI mit Sitz in Frankfurt am Main, Zürich und Wien."
Senior Consultant Data Science (m/w/d),STATWORX,Frankfurt am Main,"Über STATWORXSTATWORX ist ein Beratungsunternehmen für Data Science, Machine Learning und AI mit Sitz in Frankfurt am Main, Zürich und Wien."
Internship in User Experience & Design (m/f/d),Bilfinger,Heidelberg,"Collaboration with sales, business developers, industry, data and IT experts.Bilfinger Digital Next GmbH is a startup of more than 35 experts headquartered…"
Penetration Tester (m/f/d),NGENA,Frankfurt am Main,University degree in computer science or a comparable qualification is a plus.Information about processing of your data by ngena GmbH can be found here: www…
Marketing Manager Online (m/w/d),STATWORX,Frankfurt am Main,"Über STATWORXSTATWORX ist ein Beratungsunternehmen für Data Science, Machine Learning und AI mit Sitz in Frankfurt am Main, Zürich und Wien."
Content Marketing Manager [m/w/d],StackFuel GmbH,Berlin-Kreuzberg,In den letzten drei Jahren hat sich StackFuel zu einem der führenden deutschen Anbieter für berufsbegleitende Online-Trainings im Bereich Data Analytics und…
Performance Marketing Manager [m/w/d],StackFuel GmbH,Berlin-Kreuzberg,In den letzten drei Jahren hat sich StackFuel zu einem der führenden deutschen Anbieter für berufsbegleitende Online-Trainings im Bereich Data Analytics und…
Machine Learning Engineer (f/m/d),Delicious,Garching bei München,"You have experience working on timeseries data and forecasting problems.As part of our tech team, you will build software to help our customers combat one of…"
(Senior) Backend Developer,Lana Labs GmbH,Berlin-Kreuzberg,Work in close contact with our product and data science teams to discover the best solutions to our customer’s problems.4+ years of professional experience.
Trainee Data Science im Transport national (m/w/d),Deutsche Post AG,Bonn,"GESUCHT IN BONN, AB 01.04.2021 UND FÜR 18 MONATE, MIT DEM ZIEL DER ÜBERNAHME NACH PROGRAMMENDE.TRAINEE OPERATIONS (M/W/D) NATIONAL MIT SCHWERPUNKT DATA SCIENCE…"
Fachpraktischer Mitarbeiter Informatik (m/w/d),Hochschule Anhalt,Köthen,"Fachpraktischer Mitarbeiter Informatik (m/w/d), Nr.Willkommen an der Hochschule Anhalt, einer der forschungsstärksten Hochschulen des Landes."
Senior Data Analyst (m/f/d),softgarden GmbH,Berlin,Analyze trends in our data and provide insight and explanation to the product team to fuel softgarden’s next data driven features.Then apply now at softgarden!
E Commerce Manager (m/w/d) in Voll- oder Teilzeit,Hanseatic Brands GmbH,Hamburg,"Die Hanseatic Brands GmbH ist ein junges, dynamisches sowie international tätiges E-Commerce Unternehmen aus Hamburg."
Process Mining Specialist (m/w/d),BHS Corrugated Maschinen- und Anlagenbau GmbH,Weiherhammer,Process Mining Specialist (m/w/d).BHS Corrugated Maschinen- und Anlagenbau GmbH ist mit 2.500 Mitarbeitern an ihrem Hauptsitz in Weiherhammer und in mehr als…
Development Expert (f/m/d) for Business Process Intelligence,SAP,Berlin,"In this role, you’ll iterate quickly with a small but high energy team to gather data from different source systems.Work Area: Software-Design and Development."
