title,company,location,description
Duales Studium - Wirtschaftsinformatik/ Business Intelligence im Bereich des Project Managements (m/w/div),Infineon Technologies,München,Bei Infineon gehen Theorie und Praxis immer Hand in Hand!Nutze die Möglichkeit und starte Dein Berufsleben in einem internationalen Umfeld mit mehr als 40…
Senior Product Manager - SaaS/B2B (f/m/d),shyftplan.com,Berlin,"An educational background in computer science, engineering or in a related field.Own sprint planning by providing and managing clear product objectives based…"
Python Backend Developer (m/f/d),neurocat GmbH,Berlin,"Experience in handling big amounts of data (Image).Our office is located directly in the heart of the science park Berlin Adlershof, a brief 10-minute walk…"
"Front-End Engineer - AWS IIoT, DPP",Amazon Development Center DEU,Berlin,"Experience with data visualization and responsive design.These services reach all the way from bottom layers; which connect machines such as robots, presses or…"
NodeJS Developer (m/f/d),Relayr,Berlin,"Experience in data science or data engineering.Experience with a data processing framework (such as Spark, Flink, or Kafka Streams)."
"W2 Professorship with tenure track to W3 in „Supply Chain Management und Sustainability“ (Salary W2, tt to W3)",University of Göttingen,Göttingen,"With submission of your application, you accept the processing of your applicant data in terms of data-protection law.(Salary W2, tenure track option to W3)."
Technical Support and QA Engineer (Berlin),KNIME,Berlin,"We are a rapidly growing, young company developing analytics software for performing advanced data science.Our open source KNIME Analytics Platform, developed…"
DevOps Engineer Cloud (m/f/d),PRISMA European Capacity Platform GmbH,Leipzig,We take care of your personal data.University degree in computer science or related fields.Join our team in Leipzig and help make fair markets happen – as our…
Senior Consultant BI,Brunel,Hamburg,"Wenn Sie gemeinsam mit uns interessante und herausfordernde Projekte umsetzen wollen und eine attraktive sowie abwechslungsreiche berufliche Tätigkeit suchen,…"
Full-Stack Developer (Associate) (f/m/d) - SAP Cloud Platform - Cloud Foundry UIs,SAP,Walldorf,"Bachelor’s degree or higher in computer science or related field.You will identify areas for improvement using data from productive applications and services,…"
Software Development Manager – Customer Engineering,AWS EMEA SARL (Germany Branch),Berlin,"Solid software development background including design patterns, data structures, test driven development.5+ years of experience as a software developer."
Technical Support and QA Engineer (Konstanz),KNIME,Konstanz,"We are a rapidly growing, young company developing analytics software for performing advanced data science.Our open source KNIME Analytics Platform, developed…"
Software Development Manager - Amazon Search,Amazon Development Center DEU,Berlin,We use data mining and usability data to develop new features and we test them through hundreds of A/B experiments a year as well as data mining and usability…
2579 - Senior Medical Writer,"Cytel, Inc (USA)",Berlin,"Liaise with other functional groups (e.g. data management, statistical programming, biostatistics, project management, and publishing vendors) to ensure timely…"
(Senior) React Frontend Developer (m/f/d),neurocat GmbH,Berlin,"Experience in handling big amounts of data.Our office is located directly in the heart of the science park Berlin Adlershof, a brief 10-minute walk from the S…"
Office Manager (Berlin),KNIME,Berlin,Our open secret: we are transforming the data-science landscape by providing an open source (and free) platform that lets data scientists mix and match the…
Information Systems Security Officer (ISSO),Leidos,Stuttgart,"Leidos is a Fortune 500® information technology, engineering, and science solutions and services leader working to solve the world’s toughest challenges in the…"
(Sr.) Technical Product Manager (f/m/d) for SAP Ruum,SAP,Berlin,"Master’s in computer science or a related field, or equivalent practical experience.You love to go through customer and user feedback, prioritize, and validate…"
Java Cloud Developer (Berlin),KNIME,Berlin,We are transforming the data science landscape by developing - together with our community - the open source KNIME Analytics Platform that lets data scientists…
Sr. MS SQL Database Management,Leidos,Stuttgart,"Establishes quality control and auditing processes of databases to ensure accurate and appropriate use of data and disk space.Yes, 10% of the time."
Senior Softwareentwickler/-Architekt Cloud und IoT *,SyroCon AG,Eschborn,"Die SyroCon AG ist ein Beratungs- und Software-Entwicklungsunternehmen mit den Schwerpunkten Cloud Solutions, Autonomous Driving Technologies, Data Analytics,…"
(Senior) iOS SDK Engineer (m/f/d),Smaato Inc.,Hamburg,Knowledge about data structures and iOS design patterns.These SDKs are connected via APIs to the Smaato backend in order to transfer relevant data and request…
Working Student (m/f/d) in Global Data Science,GfK,Nürnberg,"We connect data, science and innovative digital research solutions to provide answers for key business questions around consumers, markets, brands and media."
Data Scientist (m/f/d),Baker Hughes,Stutensee,"Working with data engineers on data quality assessment, data cleansing and data analytics.Have a broad understanding of industry and technology trends in data…"
Measurement and analysis of turbulence wind data,DLR - Deutsches Zentrum für Luft- und Raumfahrt,Oberpfaffenhofen,Date science skills with python or similar language.Comparison of evaluated turbulence data against reference measurements from the met-mast.
Scientist - Data archiving,Deutsches Elektronen-Synchrotron DESY,Hamburg,"Knowledge of data bases and tape technology is advantageous.University degree in computer science, physics, mathematics or equivalent.Phone: +49 40 8998-3392."
Visualization of CFD data in Augmented Reality,DLR - Deutsches Zentrum für Luft- und Raumfahrt,Braunschweig,"Understanding of CFD data is desirable.Therefore, a solution is required that either allows sampling of data for the required visualization or remotely renders…"
Marketing Data Scientist (m/w/d),Karlsberg Brauerei GmbH,Homburg,"Dieser Satz steht in seiner Kürze für einen inhabergeführten Handwerksbetrieb mit Tradition, der für die Herstellung von bemerkenswerten Bieren leidenschaftlich…"
Machine Learning Engineers,Deutsches Krebsforschungszentrum,Heidelberg,"PhD or M.Sc. in computer science, physics, mathematics or a related field.The activities include the whole process from initial data preparation up to the…"
Working Student (m/f/d) Business and Data Analytics,Aptiv,München,Perform data analysis and create executive summaries of data generated.Translate the business requirements into data models.Good knowledge of MS Office Suite.
Data Protection Officer (m/f/d),Dow,Wiesbaden,Participate in or lead data protection/privacy incident investigations or data breach responses.In cooperation with Dow’s global data privacy office and data…
Data Scientist (Senior),C4 Connect Hamburg KG,Hamburg,"Help in supporting and designing business-critical data science use cases, from the business problem to delivery and operation."
Community Manager (m/f/d) in Group Data Analytics,Allianz SE (global headquarters),München,The COE connects data science teams from Allianz organizations across the world.Organize regular data science talks (company-wide or within the team).
Machine Learning Engineer (m/f/x),Segment of One,Home Office,"Core computer science, data structures, and algorithms.Build scalable ML pipelines and prediction systems for transactional shopping data."
en Neu (Junior) Software Engineer (m/f/d) Product Data,MediaMarktSaturn Technology,Ingolstadt,"Implement data analysis solutions from conceptual design, data preparation, testing to operationalization and deployment as part of a cross-disciplinary team of…"
Praktikum Data Science – Computer Vision (w/m/d),Deutsche Bahn AG,Berlin,Vollzeit (Dauer: befristet auf 6 Monate).Das Praktikum machst Du bei uns im „House of AI (Artificial Intelligence)“ der Deutschen Bahn.
Applikations- und Software-Engineer (m/w/d) für Industrie 4.0 und Data Science (FDC),ELMOS Semiconductor,Dortmund,"Abgeschlossenes Studium der Informatik, Elektrotechnik oder ähnlicher Fachrichtung bzw.Eine vergleichbare Ausbildung im IT-Umfeld mit entsprechender…"
Junior Business Intelligence Consultant (m/f/div),Dept,Berlin,"Our Data & Intelligence department at Dept t is focused on data engineering, big data analytics, web tracking and data activation by means of data science."
Software Engineer - Data Science QA Infrastructure,Snke OS,München,Development of data integration pipelines & API`s for automatic quality control of large scale testing data from several data sources e.g. Cloud data lakes (C++…
Data Analyst,Cerence,Aachen,"Ensure quality of handwriting data.With a rapidly growing automotive industry, Cerence offers an exciting opportunity for a data analyst for handwriting data…"
International Graduate Trainee - focus Mathematics/ Analytics,Munich Re,München,"Very good university degree in mathematics, statistics, data science, or similar qualification with mathematical background."
Data Analyst Praktikum,Backpackertrail,Home Office,"Backpackertrail ist ein Travel Start Up aus Heidelberg, welches eine Web Applikation entwickelt, in der auf Nutzerpräferenzen basierende Reisen erstellt werden."
Working Student (m/f/d) Global Project Services,GfK,Nürnberg,"We connect data, science and innovative digital research solutions to provide answers for key business questions around consumers, markets, brands and media."
Data Scientist (m/w/d),engineering people GmbH,Ulm,Bereitstellung von Data Science Lösungen und Machine Learning Algorithmen.Arbeit an unterschiedlichen innovativen Use Cases.
Causal inference and explainable AI,DLR - Deutsches Zentrum für Luft- und Raumfahrt,Jena,The Climate Informatics working group at German Aerospace Center’s Institute of Data Science combines innovative data science methods from different fields …
Data Analyst (m/w/d),coeo Inkasso GmbH,Dormagen,Data Analyst (m/w/d).Im Fokus Deiner Aufgabe stehen die Analyse und die Visualisierung von Daten zur Ableitung konkreter.
IT Support Engineer (w/m/d),Panthera Investment GmbH,Frankfurt am Main,We have a presence in several data-centres around the globe.We are looking for a self-motivated IT professional to come on board and help the team out wherever…
Senior Data Scientist - Search (f/m/d),Delivery Hero,Berlin,Build data science/ML pipelines leveraging data coming from different streams to improve customer experience.You're an experienced Data Scientist with hands-on…
Working Student (m/f/d),Aptiv,München,Perform data analysis and create executive summaries of data generated.Translate the business requirements into data models.Good knowledge of MS Office Suite.
Doktorand (w/m/d),German Centre for Integrative Biodiversity Researc...,Leipzig,Share in science and research.Implements our mission to do great science.Statistical correlations of deforestation with demographic and social-economic data.
Theorie und Methoden - Kausale Inferenz und Machine Learning,DLR - Deutsches Zentrum für Luft- und Raumfahrt,Jena,"Am Standort Jena entwickelt das DLR-Institut für Datenwissenschaften Konzepte zur Verwaltung, Integration und fachübergreifenden Verarbeitung, Analyse und…"
Data and Land-Use Analyst (gn),Climate Analytics g,Berlin,Provide authoritative expertise of land-use and other related datasets and develop and maintain analytical tools exploring such data.
Recruitment Resourcer,seuss+,Mannheim,"Document all relevant candidate data in JobAdder, in accordance with internal guidelines and legal requirements, in such way that relevant information is…"
Client Assurance Assistant Director,Ernst & Young,Frankfurt am Main,Understanding of security related regulatory and data privacy concerns globally.It’s all about client satisfaction and assurance that EY will protect client…
Abschlussarbeit für optimierte Fabrikprozesse in der Automobilproduktion durch AI Planning ab April 2021,Mercedes-Benz AG,Sindelfingen,Die Abteilung E/E Technologien und Architektur gehört zum Integrationscenter Elektrik/Elektronik (E/E).Das Integrationscenter bildet für die E/E das Bindeglied…
Trainee.ON Program - Business Solutions - Digital (m/f/d),E.ON Business Solutions,Essen,"You have solid understanding of Digital Technologies and ideally experience in programming, data analytics, web technologies or cloud computing."
Duales Studium zum Master of Science in Data Science (w/m/d),ORDIX AG,Wiesbaden,"Du erlernst den Umgang mit Big Data-Technologien, wie z.B.NoSQL-Datenbanken, Apache-Hadoop und -Spark.Du befasst Dich mit sehr großen Datenmengen, Big Data…"
Thai NLU Consultant,Cerence,Home Office,"The work will involve the development of grammars and lexical resources, the correction of annotated data, and other adjustments of the system as well as error…"
"Innovations-, Produkt- und Plattformstrategien der deutschen Automobilindustrie",DLR - Deutsches Zentrum für Luft- und Raumfahrt,Stuttgart,Das Institut für Fahrzeugkonzepte erforscht innovative Konzepte für künftige Fahrzeuggenerationen auf Straße und Schiene am DLR-Standort Stuttgart.
Developer (f/m/d) - Secure SDL Integration & Reporting Developer,SAP,Walldorf,"Bachelor’s degree or equivalent in computer science, natural science or a related discipline.Architect, develop and drive implementations to gather data from…"
Junior Statistiker,ClinStat GmbH,Köln,Unser Auftragsinstitut für klinische Forschung und Statistik mit Hauptsitz in Köln und einer.Unserem Schwerpunkt in der statistischen Beratung und Auswertung…
Abschlussarbeit im Bereich optimierte Engineeringprozesse in der Automobilproduktion durch Machine Learning ab April 2021,Mercedes-Benz AG,Sindelfingen,Die Abteilung E/E Technologien und Architektur gehört zum Integrationscenter Elektrik/Elektronik (E/E).Das Integrationscenter bildet für die E/E das Bindeglied…
Software Developer - Semantic methods,Forschungszentrum Jülich,Aachen,"University degree (Master, Diploma) or similar in information/data/computer science or equivalent skills and experience acquired in practice."
Data Management Lead (m/f/d),MSD,Haar,"Ensure establishment and maintenance of data quality standards, data catalogue and data taxonomy.Deep understanding of data modelling and preparation of…"
Student worker content editing and testing for TourGuide,Cerence,Aachen,Prepare test data and cases for feature testing.Basic Experience with API structures and data query languages (like GraphiQL).Possibility of master’s thesis.
Scientist - Online Data Analysis Framework for On-site Photon Science Experiments,Deutsches Elektronen-Synchrotron DESY,Hamburg,"New demands from experiments done at local accelerator facilities (Petra III and FLASH), require efficient transfer of data generated by detectors, storing them…"
Czech NLU Consultant,Cerence,Aachen,"The work will involve the development of grammars and lexical resources, the correction of annotated data, and other adjustments of the system as well as error…"
Development Engineer (all genders welcome) Algorithms for Industrial Image Processing,ROSEN Group,Lingen,"Experience in the analysis of measurement data and data preparation.Use of 3rd party components from the fields of signal processing, computer vision and data…"
Requirements Engineer Analytics/AI (w/m/d),Deutsche Bahn,Frankfurt am Main,"Wenn es darum geht, zukünftig Millionen Fahrgäste und tausende Züge auch digital auf den Weg zu bringen, braucht es die besten IT-Experten."
Business Consultant Künstliche Intelligenz (m/w/d),Schwarz Dienstleistungen,Neckarsulm,"Die Schwarz IT ist als zentraler IT-Dienstleister für Auswahl, Bereitstellung und Betrieb sowie Weiterentwicklung von IT-Infrastrukturen, IT-Plattformen und…"
Intern / Working Student Product Management (Process AI Engine) (m/f/x),Celonis SE,München,The Process AI Engine leverages machine learning and a built-in Knowledge Hub to bring meaning to the data and perform next-best actions.
Consultant (m/w/d) Agroservice Corn,KWS Group,Einbeck,"University degree in agricultural science or agribusiness, preferably with a focus on crop production.Our data privacy policy for candidates is available on…"
"Doctoral researcher on the project P6G-2: ""Biodiversity effects on leaf and litter metabolomes"" (m/f/d)",Friedrich-Schiller-Universität Jena,Jena,Please also note the information on the collection of personal data at.The data generated in this project will also be interfaced with experimental data…
PROFESSORSHIP W2 IN THE FIELD OF DATA-DRIVEN CONTROL AND DIAGNOSIS OF COMPLEX SYSTEMS,Technische Universität Hamburg-Harburg,Hamburg,"Merging of data-driven and physics-based models for control and diagnosis.For this purpose, data-driven approaches are needed that facilitate the incorporation…"
PostDoc (d/f/m) Remote Sensing for Forest Monitoring,Helmholtz-Zentrum für Umweltforschung UFZ,Leipzig,Interest in ecological research and EO data analysis.Handling and analysing time series of optical satellite data.
Senior Research Scientist,Cerence,Aachen,"Identify, optimize, and cluster training data.Analyse product usage data to identify areas of possible improvement or enhancement of language modelling process…"
wiss. Mitarbeiter/in (bei Vorliegen der persönlichen Voraussetzung E 13 TV-L),Technische Universität Dresden,Dresden,"Reference to data protection: Your data protection rights, the purpose for which your data will be processed, as well as."
(Senior) Manager (w/m/d) Data & Analytics – Consulting (Financial Services),Ernst & Young,Deutschland,"Gemeinsam zukunftsweisende Lösungen für die Finanzwelt von morgen entwickeln: Das ist das Ziel unserer international auf Banken, Versicherungen und Asset…"
Experimental Physicist (m/f/d),Max Planck Institute for Plasma Physics,Garching bei München,"Solid knowledge of data acquisition systems, data evaluation and visualization.For information on data protection and the handling of your personal data please…"
Master Thesis in the area of Scheduling and Distributed Systems (m/f/x),ZEISS Group,München,"A solid understanding of algorithms and data structures, in particular graph theory.Work with our hardware/software systems to acquire data for your research…"
Senior Statistiker,ClinStat GmbH,Köln,Unser Auftragsinstitut für klinische Forschung und Statistik mit Hauptsitz in Köln und einer.Unserem Schwerpunkt in der statistischen Beratung und Auswertung…
Working Student (f/m/d): Situation Handling in SAP S/4HANA Product Owner Assistance,SAP,Walldorf,"Drive smaller projects and assigned tasks (e.g., data analysis, research on defined topics).Employment Type: Limited Part Time.WHAT YOU GET FROM US."
(Senior) Data Engineer (f/m/d) - Competitive Intelligence,Delivery Hero,Berlin,An appreciation and understanding of data science models and workflows.Build the technical foundation for data scientists and data analysts by providing and…
Senior (f/m/d) eDiscovery,Ernst & Young,Frankfurt am Main,"A degree in a science-related field (e.g., computer science, mathematics or business information technology).Support our team in identifying information within…"
Data Warehouse Engineer / Developer (m/w/d),coeo Inkasso GmbH,Dormagen,"Data Warehouse Engineer / Developer (m/w/d).Im Fokus Deiner Aufgabe stehen der Aufbau, die Weiterentwicklung sowie die Administration der Data."
Data Management Lead (m/f/d),MSD,Haar,"ResponsibilitiesEstablish, lead and mentor the new Data Management Team and additional consultants in line with our company’s values and leadership…"
Student worker SW development QA technology,Cerence,Aachen,Student worker- Question Answering/NLP.Question answering (Q&A) in conversations is a new and interesting topic within the automotive industry and hence within…
Doktorand (w/m/d),German Centre for Integrative Biodiversity Researc...,Leipzig,And implements our mission to do great science.Community models together with empirical data to understand the mechanistic nature of biodiversity change.
Senior Data Analyst - Global Payments (f/m/d),Delivery Hero,Berlin,"Experience with big data tools (e.g. Redshift, BigQuery, Spark).Bachelor’s degree in a quantitative field, e.g. computer science, mathematics, physics or…"
Postdoc positions in Electrophysiology and/or Cell Biology (f/m/d),Leibniz-Forschungsinstitut für Molekulare Pharmako...,Berlin,Additional experience in ion imaging and advanced data analysis would be an asset.The Leibniz-Forschungsinstitut für Molekulare Pharmakologie (FMP) belongs to…
PROFESSORSHIP W2 IN THE FIELD OF DATA-DRIVEN CONTROL AND DIAGNOSIS OF COMPLEX SYSTEMS,Technische Universität Hamburg,Hamburg,"For this purpose, data-driven approaches are needed that facilitate the incorporation of physical insight into the plant.PROFESSORSHIP W2 IN THE FIELD OF."
Doktorand (w/m/d),German Centre for Integrative Biodiversity Researc...,Leipzig,Available common garden data will allow.Lomic data (root exudate profiles).Performing population genomic lab work and data analyses.Reg.-Nr. 4-15437/20-D.
Professorship in International Politics – Global Inequality (f/m/d) (2020/247),Universität Konstanz,Konstanz,Information as per Article 13 GDPR on the collection and processing of personal data during the application process is available from .
Business Developer for Technology (f/m/d),Siemens AG,München,AI and data science change the world for industry - get on board!If you are as passionate about data and data analytics as we are - and if you like to drive…
Manager (w/m/d) Cloud Architecture – Data & Analytics,Ernst & Young,Deutschland,Gemeinsam zukunftsweisende Lösungen für die Wirtschaftswelt von morgen entwickeln: Das ist das Ziel unserer mehr als 11.000 Kolleginnen und Kollegen an…
Reliability Engineer / Electrical Engineer (m/f/d) in Bremen,Thermo Fisher Scientific,Frankfurt am Main,"Analyze failure mechanisms and data from durability and lifetime.We are a research, development and production site in Bremen currently, with about 500…"
Digital Forensic Scientist,SOSi,Wiesbaden,The Digital Forensic Scientist requires a high level of competency in the computer science and information security fields.Active in Scope TS/SCI Clearance.
Doctoral Researcher (m-f-d),Martin-Luther-Universität Halle Wittenberg,Halle (Saale),And implements our mission to do great science.Community models together with empirical data to understand the mechanistic nature of biodiversity change.
Master thesis in the field of proteomics in collaboration with the IMP Protein Chemistry group of Karl Mechtler,PreOmics GmbH,Martinsried,Basic knowledge in data analysis including database searches and software for quantitative proteomics is desirable.
373/2020 - 2 PhD positions (m/f/d),Otto-von-Guericke-Universität Magdeburg,Magdeburg,Acquisition of longitudinal magnetic resonance imaging and behavioral data.Please note the information for storage of personal data:Salary - 65% E13 (TV-L).
Research Assist­ant - salary grade E 13 TV-L Ber­liner Hoch­schu­len,Technische Universität Berlin,Berlin,"We focus on the following topics: data generation, data representation, anomaly detection from log/traces and time series data, alert correlation, text…"
Cloud Data Engineer (AWS) (m/w/d),Adference,Lüneburg,You are passionate about data engineering?You will develop & operate data processing pipelines leveraging AWS services.We just described you here?
Online Programmer (f/m/d),Ubisoft,Düsseldorf,"Program and optimize systems, such as storefront data and player progression systems.Manage the interchange of data between players and the server/services…"
"Senior Director, EMEA Consulting",Qlik,München,Being an SME in the data / analytics space to help shape the future offerings and consulting needs for Qlik in EMEA.WHAT WE NEED YOU TO DO.
Doktorand/in (m/w/d) in der Arbeitsgruppe für Phytopathologie,Technische Universität Kaiserslautern,Kaiserslautern,With your application you agree to the further internal processing of your data for business.Scientific university degree (master's or comparable) in a live…
Research assist­ant - salary grade E13 TV-L Ber­liner Hoch­schu­len,Technische Universität Berlin,Berlin,Please find our data protection notice acc.By submitting your application via email you consent to having your data electronically processed and saved.
Werkstudent: Junior Produktmanagement (M/W/D),Process Analytics Factory GmbH,Darmstadt,"Wir sind die Process Analytics Factory GmbH (PAF)!Seit 2014 haben wir es uns zur Aufgabe gemacht, Process Mining zu revolutionieren und zu demokratisieren."
Software Entwickler (w/m/d) - Semantische Methoden,Forschungszentrum Jülich,Aachen,Forschungsdaten sind die Basis wissenschaftlicher Erkenntnis und damit das Fundament unseres gesellschaftlichen Fortschritts.
Software Engineer in Linguistics,Cerence,Aachen,"Experience in Computational Linguistics and data analysis.Create tools to collect and analyze text corpus, analyze language data."
Investment Manager (f/m/d),ONCARE GmbH,München,Technology/ data science experience or background is a plus.We have big plans - today and tomorrow!ONCARE is an innovative and strongly expanding software…
Backend Developer (f/m/d),Thryve,Berlin-Kreuzberg,We are looking for a Backend Developer to drive the integration of our backend and data science systems.You ensure that our solutions provide excellent event…
Scientific Employee/Doctoral Researcher (m-f-d),Martin-Luther-Universität Halle Wittenberg,Halle (Saale),"Statistical analysis of citizen science species occurrence observations and empirical survey data.Experience in working with species distribution data, trait…"
"Full Stack Software Developer - Data Science, Machine Learning",RapidMiner,Dortmund,RapidMiner builds machine learning and data science software and provides the leading unified data science platform for easy-to-use data science and for…
Junior Professorship in Comparative Social Policy (f/m/d) (2020/246),Universität Konstanz,Konstanz,"The candidate must hold a doctoral degree either in political science, sociology or a related social science, with an evident inclination to respect and pursue…"
Support Service Manager (m/w/d),Westcon-Comstor,Berlin,"You have a degree in business administration, computer science or completed a vocational training with focus on relevant fields.What you need to succeed:"
Leader of the ABB Mobile Robotics Startup (m/f/d),ABB,Gilching,Join ABB and work in a team that is dedicated to creating a future where innovative digital technologies allow greater access to cleaner energy.
Wiss. Mit­ar­bei­ter*in (d/m/w),Technische Universität Berlin,Berlin,Technische Universität Berlin - Fakultät IV - Institut für Telekommunikationssysteme / Komplexe und Verteilte IT-Systeme (CIT).
Research Assist­ant - salary grade E 13 TV-L Ber­liner Hoch­schu­len,Technische Universität Berlin,Berlin,"Ideally, you have in-depth knowledge of data management, distributed systems or scalable data analysis.Please find our data protection notice acc."
Automatisierungstechniker/Prozessinformatiker (m/w/d),Rentschler Biotechnologie,Laupheim,Als führendes Dienstleistungsunternehmen für die Entwicklung und Herstellung von Wirkstoffen leistet Rentschler einen entscheidenden Beitrag zur weltweiten…
Research assist­ant - salary grade E13 TV-L Ber­liner Hoch­schu­len,Technische Universität Berlin,Berlin,Experiences in science or industry are a plus.Please find our data protection notice acc.By submitting your application via email you consent to having your…
Koordinatorin / Koordinator (w/m/d) des Innovationszentrums digilab in Berlin,Bundesministerium für wirtschaftliche Zusammenarbe...,Berlin,Das Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ) beschäftigt sich mit vielen Überlebensfragen der Menschheit.
C++ Engineer (m/f/x) for Database Development,Celonis,München,... have an analytical mind and a great understanding of complex algorithms data management.... have a university degree in the area of computer science or a…
Studiengangskoordinator*in (w/m/d),Georg-August-Universität Göttingen,Göttingen,Am Institut für Informatik der Georg-August-Universität Göttingen ist in Zusammenarbeit mit dem Campus-Institut Data Science zum nächstmöglichen Zeitpunkt die…
Supply Chain Engineer (m/f/d),GLOBALFOUNDRIES,Dresden,You are skilled to filter the key informations from big datasets and can carve out correlations as well as convincingly present those data.
Lead Operating Model Solutions (f/m/d),Allianz Global Investors,Frankfurt am Main,Passionate about financial markets and interest in data & technology.The successful candidate has a high affinity to data & IT and will need to demonstrate…
en Neu Domain Engineering Delivery Lead (m/f/d) Product Data,MediaMarktSaturn Technology,München,"Experience in data management, especially product data management in the retail industry is a plus.Manage and further expand a strong team of software…"
en Neu (Senior) Software Engineer (m/f/d) Product Data,MediaMarktSaturn Technology,Ingolstadt,"Experience in data management, especially product data management in the retail industry is a plus.Drive technology innovation in the product data area."
Research Assist­ant - salary grade E 13 TV-L Ber­liner Hoch­schu­len,Technische Universität Berlin,Berlin,"Completed courses in artificial intelligence and data science.Please find our data protection notice acc.Experience with big data platforms (Hadoop, SPARK);"
Senior IT UX Expert (m/f/d) Data Solutions,Kuehne+Nagel,Hamburg,"Master’s degree in information science, computer science or a similar degree.Join our IT team in Hamburg and be part on our journey to become a data driven…"
"PhD position ""Assessment of macroalgal biodiversity and habitat change in the European Arctic"" (m/f/d)",Alfred-Wegener-Institut für Polar- und Meeresforsc...,Bremerhaven,"A degree (MSc) in marine, biological or environmental science.Exciting science topics, with opportunities also in technology, administration and infrastructure…"
Ingenieur Prozessentwicklung- und betreuung – Schwerpunkt: Datenarchitektur/-analyse (m/w/x),ZEISS Group,Oberkochen,"Sich etwas Neues trauen, über sich hinauswachsen und dabei die Grenzen des Machbaren neu definieren.Genau das ist es, was unsere Mitarbeiter täglich leben…"
Reliability Engineer / Electrical Engineer (m/f/d),Thermo Fisher Scientific,Bremen,"Analyze failure mechanisms and data from durability and lifetime.We are a research, development and production site in Bremen currently, with about 500…"
"Senior Actuarial Analyst (m/f/d), based in Munich or London",Allianz Global Corporate & Specialty,München,"The ability to identify patterns and root causes in complex (e.g. ambiguous, from various sources) data and processes to rapidly distill key issues and provide…"
Software Development Engineer,Amazon Development Center DEU,Berlin,"Experience in data structures, algorithm design, complexity analysis, object-oriented design.3+ years of professional experience in software development."
Praktikum im Bereich Risk Strategy & Validation ab März 2021,Mercedes-Benz Bank AG,Stuttgart,Die Mercedes-Benz Bank mit Firmensitz in Stuttgart gehört zu den führenden Autobanken in Deutschland.Sie ist ein Tochterunternehmen der Daimler AG.
R&D Project Manager (m/f/d) mobile robotics,ABB,Gilching,Join ABB and work in a team that is dedicated to creating a future where innovative digital technologies allow greater access to cleaner energy.
"Duales Studium Wirtschaftsinformatik, Bachelor of Science (B.Sc.)",SSC-LUXon GmbH,Bad Krozingen,Die SSC-LUXon GmbH ist ein junges und dynamisches E-Commerce-Unternehmen im Bereich energieeffizienter Beleuchtung mit Sitz in Bad Krozingen (Raum Freiburg).
Expert Agronomy Modeling (m/f/d),BASF,Köln,"Last but not least, you are responsible for the data preparation and data cleaning in close alignment with the Data Competency Center."
Product Owner (m/w/d) Mobile Apps – München,immowelt,Nürnberg,"Die Arbeit an der nächsten Generation der erfolgreichen immowelt Plattform hat begonnen!Wenn du heiß darauf bist, den Erfolg unserer nativen Apps auszubauen,…"
Cyber Incident Handling Analyst 3,SOSi,Wiesbaden,"Be involved in a wide range of security issues including architectures, firewalls, electronic data traffic, and network access."
Software Engineer (f/m/d) Security,sprd.net AG,Leipzig,You improve the web-application security of our platform while keeping an eye on data protection and data security.You have a good command of English.
Consultant (m/w/d) Business Intelligence (Backend),STAR COOPERATION GmbH,München,"Teamgeist, geballte Expertenpower, Verantwortung und Networking: Daraus schmieden wir bei STAR innovative Produkte und Dienstleistungen auf einem neuen Level."
Senior Software Entwickler / Programmierer (w/m/d) - Forschungsdatenmanagement,Forschungszentrum Jülich,Aachen,"Software Integration von Datenquellen aus dem www (repositories, datenbanken & data warehouses).Forschungsdaten sind die Basis wissenschaftlicher Erkenntnis…"
University professorship for “Interactive Systems” (Bes.-Gr. W 3 LBesO W),Universität Duisburg-Essen,Essen,"Combine computer science and psychological-empirical approaches in research are therefore.Interaction and visual analytics for big data and social media,…"
Senior Consultant (w/m/d) Data & Analytics – Consulting (Financial Services),Ernst & Young,Deutschland,"Gemeinsam zukunftsweisende Lösungen für die Finanzwelt von morgen entwickeln: Das ist das Ziel unserer international auf Banken, Versicherungen und Asset…"
(Senior) Developer (f/m/d)- SAP One Domain Model,SAP,Walldorf,Design and develop the visualization and documentation tool of the next generation data model (SAP One Domain Model).Employment Type: Regular Full Time.
Intern - Software QA,Cerence,Aachen,"Enrolled student in computer science, engineering or related experience.Analyze test results along with failure analysis, utilizes fact / data driven metrics…"
Senior Speech Scientist,Cerence,Aachen,"In accordance to customer requirement analysis, specifying data needed to train NLU models.Procure, analyze, and process text and audio data in the target…"
Sr Product Manager FireTV,Amazon EU SARL(Germany Branch),Berlin,"Ability to use hard data and metrics to back up assumptions and develop project business cases.Bachelors degree in Engineering, Computer Science or a related…"
Cassandra DATABASE ENGINEER,AI.Associates GmbH,Stuttgart,Knowledge of distributed data stores (NoSQL systems) to achieve massive scalability and availability of the data made available by your data pipelines.
Manager (f/m/d) eDiscovery,Ernst & Young,Frankfurt am Main,"A degree in a science-related field (e.g., computer science, mathematics or business information technology).Support our team in identifying information within…"
"Manager Analytics, AI and Application Development (m/w/d)",vacantum Personalberatung,Frankfurt am Main,Strong experience with modern data science toolboxes in Python.Experienced in data analytics and how to handle big volumes of data.The office is in Frankfurt.
