title,company,location,description
Consultant Data Science (m/w/d),STATWORX,Frankfurt am Main,"Über STATWORXSTATWORX ist ein Beratungsunternehmen für Data Science, Machine Learning und AI mit Sitz in Frankfurt am Main, Zürich und Wien."
Data Scientist - Computer Vision (m/w/d),PALTRON GmbH,Hamburg,"Unser Partner LIFEBONUS verfolgt die Vision, das Thema betriebliche Gesundheitsförderung digital zu revolutionieren.Sicherer Umgang mit Python oder C/C++."
Senior Consultant Data Science (m/w/d),STATWORX,Frankfurt am Main,"Über STATWORXSTATWORX ist ein Beratungsunternehmen für Data Science, Machine Learning und AI mit Sitz in Frankfurt am Main, Zürich und Wien."
Consultant Data Engineering (m/w/d),STATWORX,Frankfurt am Main,"Über STATWORXSTATWORX ist ein Beratungsunternehmen für Data Science, Machine Learning und AI mit Sitz in Frankfurt am Main, Zürich und Wien."
Senior Business Intelligence Analyst - Growth (m/f/d),Spryker System GmbH,Berlin,Empower the different departments in data understanding and mastery to make better decisions.As Spryker’s Senior Business Intelligence Analyst - Growth you…
Customer Support Engineer,Tulip Interfaces Inc,München,4-year university degree in engineering or computer science.Experience in computer science a plus; familiarity with SQL and basic coding at a minimum.
Senior Customer Service Technical Support (m/f/d),e-bot7 GmbH,München,Bachelor’s Degree and/or certification in computer science or other technical field.With our expert team of application developers and data scientists we work…
Business Intelligence Product Manager (m/f/d),Westwing Home & Living GmbH,München,"In this position, you will enable the Product team to translate data into actionable insights, initiative pipelines & visualization dashboards and you will…"
SENIOR SECURITY CONSULTANT PROFESSIONAL SERVICE,Antal International,Deutschland,Completed degree in computer science or comparable training with additional qualifications in the specialist area or relevant professional practice.
Data Analyst - Marketplaces (m/f/d),Berlin Brands Group,Berlin-Mitte,You acquire and implement new data streams to support our decision-making process.You actively support the expansion of a data-driven and KPI-oriented company…
Werkstudent im Bereich Data Science,Scheer GmbH,Saarbrücken,"Auf der Basis unserer innovativen, leistungsstarken Process Automation Suite (PAS) realisieren wir mehrwertige prozessbasierte Applikationslösungen für…"
Praktikum Data Science,LIDL Stiftung & Co. KG,Baden-Württemberg,"Eine gute Idee war der Ursprung, ein erfolgreiches Konzept ist das Ergebnis.Qualität zum guten Preis möglichst vielen Menschen anbieten zu können treibt uns an…"
Data Scientist für Mobilitätskonzepte (w/m/d),"mit intelligenten Fuhrparkkonzepten, Corporate Carsharing, Corporate Bikesharing sowie Chauffeurservices integrierte Mobilitätslösungen. Rund 600 Mitarbeiter an Standorten wie Frankfurt am Main, Berlin und Halle (Saale) verfolgen dabei eine gemeinsame Mis",Frankfurt am Main,"Wenn es darum geht, zukünftig Millionen Fahrgäste und tausende Züge auch digital auf den Weg zu bringen, braucht es die besten IT-Experten."
Praktikum Data Science – Computer Vision,Deutsche Bahn,Berlin,Das Praktikum machst Du bei uns im „House of AI (Artificial Intelligence)“ der Deutschen Bahn.Hier werden die Daten der DB durch Data Analytics sowie Verfahren…
Praktikum Data Science – Reinforcement Learning,Deutsche Bahn,Berlin,Das Praktikum machst Du bei uns im „House of AI (Artificial Intelligence)“ der Deutschen Bahn.Hier werden die Daten der DB durch Data Analytics sowie Verfahren…
Analyst (f/m/d) Data Science & Analytics,STADA Arzneimittel AG,Bad Vilbel,"Good understanding of IT around data science & analytics.Comprehensive experience in data science and visualization tools (e.g. Tableau, Power BI, Alteryx)."
Sales Manager / Vertrieb (m/w/d),StackFuel GmbH,Berlin-Kreuzberg,In den letzten drei Jahren hat sich StackFuel zu einem der führenden innovativen Anbieter für praxisnahe Online-Trainings im Bereich Data Analytics und Data…
Dev. Ops Web Developer / Dev. Ops Engineer (m/w/d),Trendence Institut GmbH,Berlin-Kreuzberg,"Das Research- und Data Team baut innovative, datengesteuerte Entscheidungshilfen für den gesamten HR-Bereich auf.Egal ob im Büro in X-Berg oder im Home Office."
Senior Associate (m/f/d) Complex Index Development,Solactive AG,Frankfurt am Main,Previous experience in financial data engineering and general understanding of financial instruments.Solactive AG is a FinTech company operating globally and…
Software Project Manager (f/m/d),Magna International Inc.,Sailauf,Ensures all necessary engineering documentation and data is generated and maintained to ensure traceability and compliance to company procedures (e.g. Process -…
(Senior) Javascript Developer (m/f/d) with Angular 2+ / React,allmyhomes GmbH,Berlin,Specialist in Software Application Development or university degree holder in the field of (media) computer science or equivalent.
Werkstudent (m/f/d): Cost of Non Quality Data Analyst & Programming,Airbus,Donauwörth,"Airbus is a global leader in aeronautics, space and related services.In 2019 it generated revenues of € 70.5 billion and employed a workforce of around 134,000…"
Senior DevOps Engineer - Fullstack Developer (m/f/d),BASF,Ludwigshafen am Rhein,Experienced as data scientist with MS Azure Suite.We provide IT that works and offer know-how and access to latest technologies in the areas of cloud computing…
Working Student / Intern - Data Science (m/w/x),Process& GmbH,München,"... study business management, mathematics, statistics, computer science, physics or similar have already gained experience in the field of business…"
(Senior) Project Manager (f/m/d) Data Science & Analytics,STADA Arzneimittel AG,Bad Vilbel,Good understanding of IT around data science & analytics.Support operational data science & analytics teams in building dashboards.
"Systemadministrator (m/f/d) Data, Part-/Fulltime",E.CA Economics GmbH,Berlin,"Expertise in relevant software for data analysis, e.g. ArgGIS.Software development related to the Microsoft Office applications and in the field of data…"
Climate Action & Carbon Intelligence Expert (f/m/x),Cozero,Berlin,"Build frameworks, processes and capacity building tools for managing corporate & supply chain GHG data collection and analysis in our SaaS platform."
Data Scientist (m|f|d),Sartorius Corporation,Göttingen,"You assess the effectiveness and accuracy of new data sources and data gathering techniques.You bring excellent knowledge of machine learning (AI), data mining…"
Data Engineer/ ETL Entwickler (m/w/d),Ranger Marketing & Vertriebs GmbH,Düsseldorf,Die Ranger Gruppe ist einer der führenden Outsourcing-Dienstleister für B2C und B2B Sales & Services in Europa.Lerne unser Head Office kennen:
Data Scientist (m|f|d) Membrane Technologies,Sartorius Stedim Biotech,Göttingen,"You assess the effectiveness and accuracy of new data sources and data gathering techniques.You bring excellent knowledge of machine learning (AI), data mining…"
Data Analyst - Product,trivago,Düsseldorf,"Get an inside look at data science at trivago:If data-driven product development excites you, we want to hear from you!What you'll definitely need:"
"Clinical Research Associate (Freelance) - Hannover, Germany",Translational Research in Oncology,Home Office,Performing data verification of source documents;Assisting with data validation and query resolution;Completion of a science-related Bachelor’s degree.
Global Engineer Program,Electrolux,Deutschland,Record and maintain accurate test data records and write extremely detailed test reports and procedures when required within scope of work.
Research Solution Partner,YouGov,Köln,We don’t just collect data we connect data.YouGov is an international data and analytics group.Our core offering of opinion data is derived from our highly…
Data Analyst (m/w/d),Contabo GmbH,Köln,"ETL, data modelling, data analysis and presentation layer/dashboards.In implementing a data-driven culture in Contabo.Data Analyst (m/f/d)*."
