title,company,location,description
Thesis or Student Project: Improve black car detection in LiDAR data,Blickfeld GmbH,München,Then suitable test data for public data sets could be used before we recorded and label our own test data.The first step will be researching suitable networks…
Consultant Data Science (m/w/d),STATWORX,Frankfurt am Main,"Über STATWORXSTATWORX ist ein Beratungsunternehmen für Data Science, Machine Learning und AI mit Sitz in Frankfurt am Main, Zürich und Wien."
Consultant (Intern/Working Student),Process& GmbH,München,"We are enthusiastic data scientists and consultants, passionate innovators from various backgrounds.With your analytical capabilities you will analyze process…"
Senior Consultant Data Science (m/w/d),STATWORX,Frankfurt am Main,"Über STATWORXSTATWORX ist ein Beratungsunternehmen für Data Science, Machine Learning und AI mit Sitz in Frankfurt am Main, Zürich und Wien."
HANA Data Lake (Associate) Developer (f/m/d),SAP,Walldorf,"Funktionsbereich:Software-Design und Entwicklung.Anstellungsverhältnis: Teilzeit oder Vollzeit unbefristet.Today, as a market leader in enterprise application…"
Junior Consultant Data Engineering (m/w/d),STATWORX,Frankfurt am Main,"Über STATWORXSTATWORX ist ein Beratungsunternehmen für Data Science, Machine Learning und AI mit Sitz in Frankfurt am Main, Zürich und Wien."
Consultant Data Engineering (m/w/d),STATWORX,Frankfurt am Main,"Über STATWORXSTATWORX ist ein Beratungsunternehmen für Data Science, Machine Learning und AI mit Sitz in Frankfurt am Main, Zürich und Wien."
Senior Frontend Engineer (m/w/d),Orbit Ventures,Hamburg,Bei ORBIT entwickeln wir digitale Geschäftsmodelle und nachhaltige Lösungen mit messbarem Impact.Wir verbinden Welten: Bei uns treffen sich die besten und…
Senior Cognos BI Consultant (m/w/d),accantec group,Hamburg,"Sie sind in der IBM BI- und Analytics-Welt zu Hause?Sie möchten Verantwortung in Projekten oder auch für ein Team übernehmen, eigenverantwortlich arbeiten und…"
"Data Scientist, DHL Consulting Europe",DHL Consulting Europe,Bonn,"Für den den nächstmöglichen Zeitpunkt möchten wir unser Team um einen Data Scientist erweitern.Egal, in welchem Land du lebst: Unsere Zustellfahrzeuge sind dir…"
HANA Data Lake (Associate) Developer (f/m/d),SAP,Walldorf,Work Area: Software-Design and Development.Employment Type: Part Time or Regular Full Time.SAP started in 1972 as a team of five colleagues with a desire to…
"Professur Wirtschaftsinformatik, insbesondere Supply Chain Management (SCM) (W2)","Westfälische Hochschule Gelsenkirchen, Bocholt, Recklinghausen",Gelsenkirchen,Mit dieser Leitlinie setzen wir an der Westfälischen Hochschule seit über 25 Jahren regional und international Zeichen: von gezielter Talentförderung hinein in…
Praktikum Qualitätsmanagement mit Schwerpunkt Data Science,Deutsche Bahn,Hamburg,Die Deutsche Bahn bietet deutschlandweit über 500 Berufe und vielfältige Einstiegsmöglichkeiten für Studenten und Absolventen.
Student Track Programm: Praktikum Data Science,Deutsche Bahn,Frankfurt am Main,Die Deutsche Bahn bietet deutschlandweit über 500 Berufe und vielfältige Einstiegsmöglichkeiten für Studenten und Absolventen.
Associate Director - Data Analytics (m/f/d),Pomélo + Co.,Berlin,Develop and implement data analyses and use data collection systems and other strategies that optimize statistical efficiency and quality.
"Werkstudent (m/w/d) für Systemadministration, Erlangen",codemanufaktur GmbH,Erlangen,"„Handmade Software“ – wir leben unser Handwerk, unsere Werkstücke sind digital.Wir sind auf die Entwicklung komplexer Individualsoftware und Data Science…"
DevOps Entwickler (m/w/d),M2. technology & project consulting GmbH,Berlin,Unsere Recruiting Policy während Corona: M2 stellt weiterhin Talente ein.Bewerbungen werden bearbeitet und Interviews finden bis auf weiteres per Video statt.
"IT Technology Senior Consultant, Network Engineering (f/m/d)",SAP,Sankt Leon-Rot,"In collaboration with team, carry out network capacity planning, trending and reporting to ensure that network services match business requirements, and…"
Senior Developer (f/m/d) - SAP Cloud Operations Engineering & Automation Team,SAP,Dresden,Implement powerful reports and data models to support across all SAP cloud organizations.Work Area: Software-Design and Development.WHAT YOU GET FROM US.
Data Engineer (m|f|d),Sartorius Corporation,Göttingen,You create and maintain data models to make information available in a user-friendly fashion for use in data analytics.
VP of Engineering and Data (M/F/D),Vivere GmbH,Hamburg,An expert and detail-oriented data coder.Proficiency in strategic thinking and data driven decision making.Strong professional background in working with big…
Fullstack Software Engineer (DACH Region based),Spenoki,Home Office,"Basic proficiency in and passion for machine learning, data analysis and data science.Experience with data modeling & relational/non-relational database…"
Regional Sales & Account Executive (w/m/d),Lana Labs GmbH,Home Office,"Unternehmen auf der ganzen Welt verlieren Milliarden durch ineffiziente Prozesse.Und unser globales Ökosystem auch.“Sales, Sales, Sales” ist Dein Motto."
Working Student (f/m/d): Development - SAP Experience Technology,SAP,Walldorf,"Strong knowledge of computer science fundamentals, algorithms and data structures.Student (f/m/d) in the area of computer science or related fields."
Developer (f/m/d) for SAP Graph Product Development,SAP,Potsdam,"Solid programming skills and a solid foundation in computer science with strong competencies in data structures, algorithms, databases, and software design."
Praktikum Data Engineering und Aufbau des DB Cargo Data Lake,Deutsche Bahn,Mainz,Die Deutsche Bahn bietet deutschlandweit über 500 Berufe und vielfältige Einstiegsmöglichkeiten für Studenten und Absolventen.
Working Student (f/m/d): Security Engagement & Enablement - Tool Development,SAP,Walldorf,Others: Basic knowledge of data protection regulations is a clear asset.Work Area: Education and Training.Employment Type: Limited Part Time.
Senior/Expert Quality Engineer/Scrum Master (f/m/d) for S/4HANA Logistics Execution/Produce,SAP,Hallbergmoos,"Create test concepts for new developments (functional tests, product standard tests, manual and automated tests, test data, …).WHAT YOU GET FROM US."
Business Development Associate - Europe (m/f) (Full-Time),BioAgilytix,Hamburg,"Associate degree in a biological science, business administration, or related field.Bachelor's degree in a biological science, business administration, or…"
Research Science Internship,Amazon Development Center DEU,München,"Familiar with the core undergraduate curriculum of computer science.Ability to relate to and solve business problems through machine learning, data mining, and…"
"Applied Science Internship - Speech Technologies, Computer Vision, Machine Learning",Amazon Development Center DEU,München,"Familiar with the core undergraduate curriculum of computer science.Enrolled in Ph.D. degree in engineering, computer science, machine learning, operations…"
Werkstudent (m/w/d) im Bereich Data Science (Informatik/Physik/Mathematik) in München,Vodafone,München,"Bist Du bereit für eine Zukunft, die dank neuer, digitaler Technologien so aufregend sein wird wie nie?Bist Du bereit für eine Welt voller Möglichkeiten?"
Data Scientist (m/w/d) Informatiker / Physiker / Mathematiker,Vodafone,Unterföhring,Du implementierst Algorithmen zur Detektion von Netz- und Servicestörungen in real-time und unterstützt uns beim Vorantreiben der data-driven automation.
VP Data Platform,iComplai,Garching bei München,"Practical experience with multiple statistical languages (SAS, R, Pandas), data processing, database programming, and data analytics."
Lead Data Scientist (m/f/d),e-bot7 GmbH,München,Proficient in data science stack - TensorFlow/PyTorch.Provide technical leadership to the data science team to reach its full potential.
Controls Engineer Cells (m/w/d) - Gigafactory Berlin-Brandenburg,Tesla,Grünheide,Use Python scripting and SQL to interface equipment with Tesla Manufacturing Execution System (MES) and to collect data into production databases.
"Bioinformatician, Physical Scientist - Biostatistics, ML (m/f/d)",Oncimmune Germany GmbH,Köln,"Large scale data of excellent quality from multiplex autoantibody assay data.Hands-on experience in the integration, exploration and interpretation of large…"
Working Student Digital Marketing (m/f/d),Corning Optical Communications GmbH & Co. KG,Berlin-Mitte,Corning is one of the world’s leading innovators in materials science.The carrier network product group consists primarily of products and solutions for…
Software Development Engineer Intern,Amazon Development Center DEU,Berlin,Protecting your privacy and the security of your data is a longstanding top priority for Amazon.Knowledge of Computer Science fundamentals such as algorithm…
"Finance Manager - UK, DE Customer Service",Amazon CS Berlin GmbH,Berlin,You make thoughtful judgement calls in ambiguous environments where there data may be scarce or difficult to procure.Advanced proficiency in MS Excel.
"Associate Director, Market Research & Forecasting, Infectious Diseases & Vaccines",Johnson & Johnson Family of Companies,Deutschland,Experience with secondary data sources and modeling is preferred.This role will demonstrate an understanding of marketing and science.
Engineering / Business Development (m/f/x),European Biostasis Foundation,Berlin-Kreuzberg,"Experience with CAD, incl. one of the following tools AutoCAD, Solidworks or Siemanns NX and data analysis.We are building the first professional and scalable…"
Capgemini Invent: Praktikant/Werkstudent (m/w/d) Marketing & Kommunikation mit Schwerpunkt Data Analytics,Capgemini,Köln,Capgemini Invent ist die weltweite Beratungseinheit der Capgemini-Gruppe für digitale Innovation und Transformation.Be part of our journey.
Imaging Research Associate,BioClinica,München,Phantom data analysis and data entry.Assisting in monitoring data flow.Assist in the monitoring and resolution of data discrepancies resulting from…
Research Assist­ant - salary grade E 13 TV-L Ber­liner Hoch­schu­len,Technische Universität Berlin,Berlin,Please find our data protection notice acc.By submitting your application via email you consent to having your data electronically processed and saved.
"Aladdin Business, Client Engagement, Associate",BlackRock,Frankfurt am Main,"Understanding of data interfacing, e.g., APIs, SFTPs.Portfolio managers, risk professionals, operations experts, and data analysts at all levels of an…"
Working Student Database Programmer VBA (m/f/d),Corning Optical Communications GmbH & Co. KG,Berlin-Adlershof,Provide data management support to users.Corning is one of the world’s leading innovators in materials science.Solve database usage issues and malfunctions.
Engine and Modul Testing Operator (m/f/d),Sicoya GmbH,Berlin,We offer monolithically integrated semiconductor chips and transceivers for next generation data centers.Sicoya is a technology leader in silicon photonics…
"Biologist, Chemist - Regulatory Toxicology Expert, Analysis (m/f/d)",RIFCON GmbH,Frankfurt am Main,"Evaluation of existing toxicological studies , data gap analysis.An option to widen your personal network in the area of industry, science and regulatory…"
"Computer Scientist - Leader, Artificial Intelligence (m/f/d)",Leibniz-Institut für Analytische Wissenschaften -...,Köln,A PhD degree in computer science/statistics/physics/computer visualistics/data science or a related field.LSFM generates extremely large data sets.
Biologisch-technische*n Assistenten*Assistentin (m/w/d),Heinrich-Heine-Universität,Düsseldorf,Die Heinrich-Heine-Universität Düsseldorf sucht für den gemeinschaftlichen Aufbau des Instituts für Biological Data Science und des.
Supervisory Program Specialist (CYS Services) NF-03,US Department of the Army,Hohenfels,"Utilizes compensatory enrollment in all appropriate CYS programs based on CYMS enrollment data.The ability to plan and organize work, analyze problems to…"
"Postdoc Physics - X-ray, Optical Scattering, Colloids (m/f/d)",INM - Leibniz-Institut für Neue Materialien gGmbH,Trier,Interest in model development for the evaluation of scattering data.Analysis of data from light and X-rax scattering on functional colloids.
Electronics Project Engineer,Underwriters Laboratories Inc.,Neu Isenburg,I hereby give consent for my personal data included in my application to be processed for the purposes of the recruitment process under the Regulation (EU) 2016…
Dietitian,US Department of the Army,Landstuhl,Obtains data from patients' medical records; interviews patients to obtain pertinent background information.Education: Ph.D. or equivalent doctoral degree or 3…
Sr. Applied Scientist - AWS Causality Lab,Amazon Development Center DEU,Tübingen,"Analyzing different data types, including time series, textual data sources and graphs.Our goal is to enable our customers to improve confidence in their data…"
Senior Data Engineer (m/f/d),adidas,Herzogenaurach,"These may include reports, dashboards, data models, data pipelines as well as data science and machine learning algorithms.Code in Python and/or Scala."
Online Research Manager / Marktforschung (m/w/d) - Konstanz / München,medflex GmbH,München,"Coliquio ist mit heute über 190.000 Ärzten die größte Ärzte-Community im deutschsprachigen Raum.2007 gegründet, sind wir heute über 140 Mitarbeiter und immer…"
Staff Site Reliability Engineer (Network),Wikimedia Foundation,Berlin,"Experience designing and configuring data center access layer topologies.We operate AS 14907 out of multiple data centers in the US, Europe, and Asia, with a…"
