title,company,location,description
Consultant Data Science (m/w/d),STATWORX,Frankfurt am Main,"Über STATWORXSTATWORX ist ein Beratungsunternehmen für Data Science, Machine Learning und AI mit Sitz in Frankfurt am Main, Zürich und Wien."
Senior Consultant Data Science (m/w/d),STATWORX,Frankfurt am Main,"Über STATWORXSTATWORX ist ein Beratungsunternehmen für Data Science, Machine Learning und AI mit Sitz in Frankfurt am Main, Zürich und Wien."
Intern / Working Student (f/m/d) at SAP Innovation Center Network,SAP,München,Work Area: Software-Design and Development.Employment Type: Limited Full Time.SAP started in 1972 as a team of five colleagues with a desire to do something…
Junior Consultant Data Engineering (m/w/d),STATWORX,Frankfurt am Main,"Über STATWORXSTATWORX ist ein Beratungsunternehmen für Data Science, Machine Learning und AI mit Sitz in Frankfurt am Main, Zürich und Wien."
Consultant Data Engineering (m/w/d),STATWORX,Frankfurt am Main,"Über STATWORXSTATWORX ist ein Beratungsunternehmen für Data Science, Machine Learning und AI mit Sitz in Frankfurt am Main, Zürich und Wien."
Technologist / Solution Architect (m/w/d),Orbit Ventures,Hamburg,Bei ORBIT entwickeln wir digitale Geschäftsmodelle und nachhaltige Lösungen mit messbarem Impact.Wir verbinden Welten: Bei uns treffen sich die besten und…
Front-End Developer Internship (3-6 months) (m/f/d),presize.ai,München,Setup A/B tests and rapidly iterate based on data-driven insights from user analytics and business intelligence.
Maintenance Specialist / Wartungstechniker/in (m/f/d),infarm,Düsseldorf,"Infarm definiert Wachstum neu – 2013 von Osnat Michaeli and den Brüdern Erez and Guy Galonska gegründet, versammelt infarm heute ein stetig wachsendes Team von…"
Senior Business Intelligence Consultant (m/w/d),M2. technology & project consulting GmbH,Berlin,Unsere Recruiting Policy während Corona: M2 stellt weiterhin Talente ein.Bewerbungen werden bearbeitet und Interviews finden bis auf weiteres per Video statt.
Business Intelligence Intern (m/w/x),Grover,Berlin,"Interpret data to deliver actionable insights.Background in computer science, economics, finance, business informatics, applied maths or related field."
Data Scientist (f/m/x),COBI,Frankfurt am Main,"You have hands-on experience with bringing data science projects successfully from design to production.As an interface between data science and development,…"
Data Scientist for Marketing Technology,Emma The Sleep Company,Frankfurt am Main,In-depth experience in data science and the development of machine learning models.You make sense of large data sets by conducting end-to-end analyses…
Marketing Analyst (m/f/x),X24Factory GmbH,Berlin,"Assist data science, product and marketing teams with various insights derived from custom dashboards or ad-hoc custom SQL queries on BigQuery."
Digital Forensic Scientist,SOS International LLC,Wiesbaden,The Digital Forensic Scientist requires a high level of competency in the computer science and information security fields.Active in Scope TS/SCI Clearance.
KI und Data Science Spezialist (m/w/d),Allgeier Experts Pro GmbH,Hamburg,"Mit uns, der Allgeier Experts, bist Du bei der Jobsuche unabhängig!Unabhängig von Vertragsart, Branche und klassischem Bewerbungsverfahren."
Head of Data Platform Engineering (m/f/d) – Air Quality,Palas GmbH,Karlsruhe,"Responsibility for designing and implementation of data management architecture.Evaluation of new technologies for data processing, management and storage."
THESIS bei HoloSpaces,HoloSpaces GmbH,Saarbrücken,"Die HoloSpaces GmbH ist eine Agentur zur Individualentwicklung für Softwareumgebungen in Virtual-, Augmented- und Mixed Reality, mit fundierter Erfahrung im…"
Working Student Software Engineering (f/m/d),ng-voice GmbH,Berlin,"You are currently a Bachelor/Master Student in the field of computer science or a related field.Our virtualized, cloud-native VoLTE / IMS solutions allow…"
SOC Security Analyst - Cyber Defense Specialist (f/m/d),SAP,Walldorf,"Our Incident Handlers are responsible for triaging security alerts detected by Enterprise Detection and SIEM, analyzing all available data to determine if a…"
Math Algorithm Engineer (f/m/d),Intel,München,"Candidate must have a Bachelor's, Master's or PhD degree in Computer Science or Computer Engineering or Electrical Engineering or Mathematics, Physics,…"
CYS Assistant Director NF-03,US Department of the Army,Grafenwöhr,"The ability to plan and organize work, analyze problems to identify significant factors, gather pertinent data and recognize solutions.This job is open to."
Data Scientist Accounting & Financial Control Focus,International Recruitment Group - IRG ltd,Düsseldorf,Develop data mining concept & Finance Advanced Analytics Toolbox.A Permanent career offered at leading global company with ?
Senior Machine Learning Research Scientist (m/f/d),neurocat GmbH,Berlin,"Strong background in optimization theory, statistics and data analysis.Our office is located directly in the heart of the science park Berlin Adlershof, a…"
Data Analyst - Business (m/f/x),Trade Republic Bank GmbH,Berlin-Kreuzberg,Collaborate with the data science team closely on advanced analytics projects.Specify improvements to the data warehouse and general data infrastructure for…
Datenanalyst / Data Scientist (m/w/d),energy & meteo systems,Oldenburg,Datenanalyst / Data Scientist (m/w/d).Für den Bereich Vorhersagequalität oder Vorhersageforschung in Oldenburg.Spaß an Datenanalyse und „Detektivarbeit“.
Datenbankmanager (m/w/d),Barton Group,Bonn,Werden Sie Teil des Familienunternehmens*.Zuständig und verantwortlich für den Datenhaushalt der verwalteten Immobilien in quantitativer und qualitativer…
Data Engineer (m|f|d),Sartorius Corporation,Göttingen,You create and maintain data models to make information available in a user-friendly fashion for use in data analytics.
Senior Data Scientist (w/m/d),Westphalia DataLab GmbH,Münster,"Du glaubst an die Kraft von Daten?Du hast Lust, dich immer wieder neuen Herausforderungen zu stellen und zusammen mit einem hochmotivierten Team bisher…"
Research Engineer (m/f/d),neurocat GmbH,Berlin,"Several years of work experience in a data science- and/or ML-related context (i.e., statistics and/or optimization).Join our team at neurocat*."
Ericsson Early Career Trainee Program | Innovate | Developer (f/m/d),Ericsson,Herzogenrath,"Education: MSc. in computer science, communication engineering, math, physics or related technical field.Proficiency in Client/Server programming ideally with…"
Machine Learning Research Scientist (m/f/d),neurocat GmbH,Berlin,"Strong background in optimization theory, statistics and data analysis.Our office is located directly in the heart of the science park Berlin Adlershof, a…"
